variable,type,n,mean,sd,median,iqr,level,count,percent
AGE,continuous,3168.0,16.181502525252526,1.9138895411882693,16.0,3.0,,,
total_acb_with_dph,continuous,3168.0,2.8693181818181817,4.094089855929935,3.0,4.0,,,
total_acb_codrugs_only,continuous,3168.0,1.222537878787879,2.999111056353292,0.0,1.0,,,
n_codrugs,continuous,3168.0,3.8238636363636362,5.298947947995925,2.0,5.0,,,
max_severity,continuous,3168.0,1.7067550505050506,1.4612752541742475,2.0,3.0,,,
age_group,categorical,,,,,,13-15,1208.0,38.131313131313135
age_group,categorical,,,,,,16-17,1014.0,32.00757575757576
age_group,categorical,,,,,,18-19,946.0,29.86111111111111
pre_post_warning,categorical,,,,,,0,2451.0,77.36742424242425
pre_post_warning,categorical,,,,,,1,717.0,22.632575757575758
cardiac_any,categorical,,,,,,0,2949.0,93.08712121212122
cardiac_any,categorical,,,,,,1,219.0,6.912878787878787
