weight,n_edges
1,79225
2,16195
3,7074
4,3322
5,1902
6,1243
7,953
8,650
9,487
10,356
11,250
12,201
13,157
14,125
15,116
16,89
17,70
18,73
19,76
20,52
21,50
22,39
23,39
24,29
25,27
26,26
27,20
28,24
29,20
30,22
31,24
32,20
33,15
34,8
35,10
36,11
37,9
38,1
39,8
40,9
41,16
42,14
43,7
44,8
45,7
46,10
47,1
48,7
49,5
50,4
51,4
52,3
53,3
54,5
55,2
56,2
57,2
58,7
59,2
60,4
61,4
62,3
63,3
64,3
65,2
66,2
67,3
68,1
69,1
70,2
72,2
73,2
74,1
75,2
76,2
77,1
78,1
80,2
81,2
82,1
85,1
86,2
88,2
91,2
94,2
96,1
97,2
99,1
100,2
101,1
103,2
104,1
109,1
114,2
115,1
117,1
123,1
124,1
126,3
129,1
133,1
134,2
139,1
141,1
151,2
154,1
156,1
159,1
169,1
171,1
194,1
198,1
202,1
219,1
225,1
248,1
277,1
309,1
331,1
351,1
792,1
