generic_name,acb_score,source_note
alimemazine,1,ACB list
alprazolam,1,ACB list
alverine,1,ACB list
aripiprazole,1,ACB 2012 update
asenapine,1,ACB 2012 update
atenolol,1,ACB list
beclometasone dipropionate,1,ACB list
bupropion hydrochloride,1,ACB list
captopril,1,ACB list
cetirizine,1,ACB 2012 update
chlorthalidone,1,ACB list
cimetidine hydrochloride,1,ACB list
clidinium,1,ACB 2012 update
clorazepate,1,ACB list
codeine,1,ACB list
colchicine,1,ACB list
desloratadine,1,ACB 2012 update
dextropropoxyphene,1,ACB list
diazepam,1,ACB list
digoxin,1,ACB list
dipyridamole,1,ACB list
disopyramide phosphate,1,ACB list
fentanyl,1,ACB list
fluvoxamine,1,ACB list
furosemide,1,ACB list
haloperidol,1,ACB list
hydralazine,1,ACB list
hydrocortisone,1,ACB list
iloperidone,1,ACB 2012 update
isosorbide preparations,1,ACB list
levocetirizine,1,ACB 2012 update
loperamide,1,ACB list
loratadine,1,ACB 2012 update
metoprolol,1,ACB list
morphine,1,ACB list
nifedipine,1,ACB list
paliperidone,1,ACB 2012 update
prednisone/prednisolone,1,ACB list
quinidine,1,ACB list
ranitidine,1,ACB list
risperidone,1,ACB list
theophylline,1,ACB list
timolol maleate,1,ACB list
trazodone,1,ACB list
triamterene,1,ACB list
venlafaxine,1,ACB 2012 update
warfarin,1,ACB list
amantadine,2,ACB list
belladonna alkaloids,2,ACB list
carbamazepine,2,ACB list
cyclobenzaprine,2,ACB list
cyproheptadine,2,ACB list
loxapine,2,ACB list
meperidine,2,ACB list
methotrimeprazine,2,ACB list
molindone,2,ACB list
nefopam,2,ACB 2012 update
oxcarbazepine,2,ACB list
pethidine hydrochloride,2,ACB list
pimozide,2,ACB list
amitriptyline,3,ACB list
amoxapine,3,ACB list
atropine,3,ACB list
benztropine,3,ACB list
brompheniramine,3,ACB list
chlorpheniramine,3,ACB list
chlorpromazine,3,ACB list
clemastine,3,ACB list
clomipramine,3,ACB list
clozapine,3,ACB list
darifenacin,3,ACB list
desipramine,3,ACB list
dicyclomine,3,ACB list
diphenhydramine,3,ACB list
doxepin,3,ACB list
doxylamine,3,ACB 2012 update
fesoterodine,3,ACB 2012 update
flavoxate,3,ACB list
hydroxyzine,3,ACB list
hyoscyamine,3,ACB list
imipramine,3,ACB list
meclizine,3,ACB list
nortriptyline,3,ACB list
olanzapine,3,ACB list note
orphenadrine,3,ACB list
oxybutynin,3,ACB list
paroxetine,3,ACB list
perphenazine,3,ACB list
procyclidine,3,ACB list
promazine,3,ACB list
promethazine,3,ACB list
propantheline,3,ACB list
propiverine,3,ACB 2012 update
pyrilamine,3,ACB list
quetiapine,3,ACB list note
scopolamine,3,ACB list
solifenacin,3,ACB 2012 update
thioridazine,3,ACB list
tolterodine,3,ACB list
trifluoperazine,3,ACB list
trihexyphenidyl,3,ACB list
trimipramine,3,ACB list
trospium,3,ACB 2012 update
